Instructor,Course,Semester,Course_Grade,Pre,Pre %,Post,Post %,% Change,%_Possible_Change,Normalized_Gain
C,Sci 1420,2012_Fall,72.90,18,36,26,52,16,64,0.25
C,Sci 1420,2012_Fall,80.00,19,38,27,54,16,62,0.26
C,Sci 1420,2012_Fall,72.50,19,38,27,54,16,62,0.26
C,Sci 1420,2012_Fall,80.00,14,28,24,48,20,72,0.28
C,Sci 1420,2012_Fall,80.00,23,46,31,62,16,54,0.30
C,Sci 1420,2012_Fall,80.00,25,50,33,66,16,50,0.32
C,Sci 1420,2012_Fall,90.00,13,26,25,50,24,74,0.32
C,Sci 1420,2012_Fall,60.00,13,26,26,52,26,74,0.35
C,Sci 1420,2012_Fall,90.00,12,24,26,52,28,76,0.37
C,Sci 1420,2012_Fall,70.00,14,28,29,58,30,72,0.42
C,Sci 1420,2013_Spring,68.00,31,62,26,52,-10,38,0.00
C,Sci 1420,2013_Spring,80.00,23,46,19,38,-8,54,0.00
C,Sci 1420,2013_Spring,99.00,31,62,29,58,-4,38,0.00
C,Sci 1420,2013_Spring,65.00,19,38,16,32,-6,62,0.00
C,Sci 1420,2013_Spring,55.00,25,50,23,46,-4,50,0.00
C,Sci 1420,2013_Spring,82.00,24,48,22,44,-4,52,0.00
C,Sci 1420,2013_Spring,77.00,18,36,19,38,2,64,0.03
C,Sci 1420,2013_Spring,84.00,21,42,23,46,4,58,0.07
C,Sci 1420,2013_Spring,88.00,21,42,23,46,4,58,0.07
C,Sci 1420,2013_Spring,76.00,20,40,23,46,6,60,0.10
C,Sci 1420,2013_Spring,86.00,21,42,24,48,6,58,0.10
C,Sci 1420,2013_Spring,96.00,24,48,27,54,6,52,0.12
C,Sci 1420,2013_Spring,67.00,14,28,20,40,12,72,0.17
C,Sci 1420,2013_Spring,92.85,21,42,28,56,14,58,0.24
C,Sci 1420,2013_Spring,81.00,20,40,28,56,16,60,0.27
C,Sci 1420,2013_Spring,95.00,17,34,27,54,20,66,0.30
C,Sci 1420,2013_Spring,91.00,20,40,30,60,20,60,0.33
C,Sci 1420,2013_Spring,65.00,7,14,24,48,34,86,0.40
D,Sci 1420,2014_Fall,81.00,15,30,5,10,-20,70,0.00
D,Sci 1420,2014_Fall,81.00,17,34,14,28,-6,66,0.00
D,Sci 1420,2014_Fall,79.00,7,14,7,14,0,86,0.00
D,Sci 1420,2014_Fall,87.00,28,56,28,56,0,44,0.00
D,Sci 1420,2014_Fall,71.00,7,14,8,16,2,86,0.02
D,Sci 1420,2014_Fall,70.00,16,32,17,34,2,68,0.03
D,Sci 1420,2014_Fall,66.00,17,34,18,36,2,66,0.03
D,Sci 1420,2014_Fall,77.00,14,28,16,32,4,72,0.06
D,Sci 1420,2014_Fall,79.00,15,30,17,34,4,70,0.06
D,Sci 1420,2014_Fall,83.00,16,32,18,36,4,68,0.06
D,Sci 1420,2014_Fall,64.00,17,34,19,38,4,66,0.06
D,Sci 1420,2014_Fall,74.00,14,28,17,34,6,72,0.08
D,Sci 1420,2014_Fall,78.00,17,34,20,40,6,66,0.09
D,Sci 1420,2014_Fall,86.00,19,38,22,44,6,62,0.10
D,Sci 1420,2014_Fall,67.00,12,24,16,32,8,76,0.11
D,Sci 1420,2014_Fall,86.00,31,62,33,66,4,38,0.11
D,Sci 1420,2014_Fall,69.00,15,30,19,38,8,70,0.11
D,Sci 1420,2014_Fall,69.00,12,24,17,34,10,76,0.13
D,Sci 1420,2014_Fall,87.00,20,40,24,48,8,60,0.13
D,Sci 1420,2014_Fall,91.00,28,56,31,62,6,44,0.14
D,Sci 1420,2014_Fall,74.00,15,30,20,40,10,70,0.14
D,Sci 1420,2014_Fall,76.00,10,20,16,32,12,80,0.15
D,Sci 1420,2014_Fall,77.00,24,48,28,56,8,52,0.15
D,Sci 1420,2014_Fall,84.00,31,62,34,68,6,38,0.16
D,Sci 1420,2014_Fall,86.00,20,40,25,50,10,60,0.17
D,Sci 1420,2014_Fall,92.00,20,40,25,50,10,60,0.17
D,Sci 1420,2014_Fall,84.00,21,42,26,52,10,58,0.17
D,Sci 1420,2014_Fall,84.00,21,42,26,52,10,58,0.17
D,Sci 1420,2014_Fall,62.00,16,32,22,44,12,68,0.18
